Date,Open,High,Low,Close,Adj Close,Volume
2017-06-15,7.940000,7.940000,7.560000,7.560000,7.560000,39900
2017-06-16,7.640000,7.700000,7.600000,7.700000,7.700000,4900
2017-06-19,7.560000,7.650000,7.500000,7.500000,7.500000,10100
2017-06-20,7.320000,7.390000,7.200000,7.390000,7.390000,17800
2017-06-21,7.430000,7.440000,7.200000,7.270000,7.270000,7400
2017-06-22,7.350000,7.410000,7.340000,7.340000,7.340000,5300
2017-06-23,7.400000,7.400000,7.300000,7.340000,7.340000,3000
2017-06-26,7.400000,7.440000,7.400000,7.440000,7.440000,1100
2017-06-27,7.640000,7.690000,7.590000,7.690000,7.690000,3400
2017-06-28,7.670000,7.750000,7.670000,7.750000,7.750000,13000
2017-06-29,7.890000,7.950000,7.880000,7.950000,7.950000,2400
2017-06-30,8.080000,8.180000,7.970000,8.180000,8.180000,11300
2017-07-04,8.270000,8.400000,8.270000,8.300000,8.300000,14700
2017-07-05,8.090000,8.090000,7.990000,8.000000,8.000000,8400
2017-07-06,8.190000,8.270000,8.030000,8.030000,8.030000,6200
2017-07-07,7.860000,7.860000,7.730000,7.770000,7.770000,3300
2017-07-10,7.860000,7.860000,7.860000,7.860000,7.860000,100
2017-07-11,7.880000,8.010000,7.880000,8.010000,8.010000,5600
2017-07-12,8.230000,8.270000,8.100000,8.100000,8.100000,11500
2017-07-13,8.200000,8.330000,8.200000,8.270000,8.270000,4600
2017-07-14,8.270000,8.420000,8.270000,8.270000,8.270000,6500
2017-07-17,8.450000,8.450000,8.270000,8.270000,8.270000,1900
2017-07-18,8.400000,8.400000,8.270000,8.270000,8.270000,5800
2017-07-19,8.450000,8.590000,8.450000,8.590000,8.590000,13700
2017-07-20,8.610000,8.700000,8.590000,8.590000,8.590000,7200
2017-07-21,8.360000,8.370000,8.300000,8.300000,8.300000,3200
2017-07-24,8.380000,8.440000,8.380000,8.390000,8.390000,4000
2017-07-25,8.590000,8.750000,8.560000,8.750000,8.750000,16200
2017-07-26,8.810000,8.950000,8.810000,8.950000,8.950000,14600
